SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
LatAm SEF,2Y,IRS / Swap,IR,CLP,24000000000.0,26020773.2506,1,True,4.375,CLP vs. Camara OIS - 2-Year,False
LatAm SEF,10Y,IRS / Swap,IR,CLP,27800000000.0,30140729.0153,1,True,5.14,CLP vs. Camara OIS - CME - 10-Year,False
LatAm SEF,12M,IRS / Swap,IR,CLP,38000000000.0,41199557.6469,1,True,4.425,CLP vs. Camara OIS - CME - 12-Month,False
LatAm SEF,2Y,IRS / Swap,IR,CLP,48000000000.0,52041546.5013,1,True,4.36,CLP vs. Camara OIS - CME - 2-Year,False
LatAm SEF,3Y,IRS / Swap,IR,CLP,26000000000.0,28189171.0215,1,True,4.48,CLP vs. Camara OIS - CME - 3-Year,False
LatAm SEF,4Y,IRS / Swap,IR,CLP,52500000000.0,56920441.4858,1,True,4.575,CLP vs. Camara OIS - CME - 4-Year,False
LatAm SEF,5Y,IRS / Swap,IR,CLP,41000000000.0,44452154.3032,1,True,4.675,CLP vs. Camara OIS - CME - 5-Year,False
LatAm SEF,6M,IRS / Swap,IR,CLP,55000000000.0,59630938.6994,1,True,4.45,CLP vs. Camara OIS - CME - 6-Month,False
LatAm SEF,12M,IRS / Swap,IR,COP,263000000000.0,76373784.3355,1,True,12.19,COP vs. IBR OIS - CME - 12-Month,False
LatAm SEF,3Y,IRS / Swap,IR,COP,94000000000.0,27297094.0211,1,True,10.44,COP vs. IBR OIS - CME - 3-Year,False
LatAm SEF,4Y,IRS / Swap,IR,COP,177000000000.0,51399847.2524,1,True,10.135,COP vs. IBR OIS - CME - 4-Year,False
LatAm SEF,5Y,IRS / Swap,IR,COP,44000000000.0,12777363.1588,1,True,9.93,COP vs. IBR OIS - CME - 5-Year,False
LatAm SEF,10Y,IRS / Swap,IR,MXN,1490000000.0,85276863.6429,1,True,8.08,MXN vs. F-TIIE OIS - CME - 130x1,True
LatAm SEF,1Y,IRS / Swap,IR,MXN,900000000.0,51509514.9521,1,True,6.695,MXN vs. F-TIIE OIS - CME - 13x1,True
LatAm SEF,2Y,IRS / Swap,IR,MXN,4955000000.0,283588496.2083,1,True,7.04,MXN vs. F-TIIE OIS - CME - 26x1,True
LatAm SEF,4Y,IRS / Swap,IR,MXN,1250000000.0,71540992.989,1,True,7.47,MXN vs. F-TIIE OIS - CME - 52x1,True
LatAm SEF,5Y,IRS / Swap,IR,MXN,2055000000.0,117613392.4739,1,True,7.6,MXN vs. F-TIIE OIS - CME - 65x1,True
LatAm SEF,1W,FX,CU,USD,2000000.0,2000000.0,1,True,922.5,NDF CLP - 07Jul26,False
LatAm SEF,1W,FX,CU,USD,2000000.0,2000000.0,1,True,922.48,NDF CLP - 08Jul26,False
LatAm SEF,1W,FX,CU,USD,16000000.0,16000000.0,1,True,3362.0,NDF COP - 08Jul26,False
LatAm SEF,2W,FX,CU,USD,15000000.0,15000000.0,1,True,3364.0,NDF COP - 15Jul26,False
LatAm SEF,2W,FX,CU,USD,31000000.0,31000000.0,1,True,3368.0,NDF COP - 16Jul26,False
LatAm SEF,1M,FX,CU,USD,12000000.0,12000000.0,1,True,3.408,NDF PEN - 07Aug26,False
LatAm SEF,1W,FX,CU,USD,12000000.0,12000000.0,1,True,3.4045,NDF PEN - 08Jul26,False
